Security,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
LOW US Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TUP US Equity,114.2030233,110.3821261,114.7711355,127.4192136,#N/A N/A,#N/A N/A,203.8617447,200.7736944,204.2062302,174.6072892,#N/A N/A
BURL US Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CLS CN Equity,214.4877269,209.8263019,248.6728189,257.073688,266.8584536,196.0007659,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
KSS US Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,181.1380598,184.2327396,199.8004777,182.2276583
CAE CN Equity,122.1172319,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
LZB US Equity,106.6658183,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TJX US Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TRI CN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
XRX US Equity,114.5473042,106.1958086,107.7894346,110.3358046,113.889108,71.62851145,69.87904608,78.76712329,1896.639394,144.2123987,133.0077238
VFC US Equity,#N/A N/A,#N/A N/A,318.5591468,#N/A N/A,#N/A N/A,255.7723389,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
WPRT CN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
WBA US Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
GES US Equity,#N/A N/A,3234.764726,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
DOO CN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
